FlowID,FlowDuration/s,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,TxPackets,RxPackets,LostPackets,TxBytes,RxBytes,TxPacketRate/s,RxPacketRate/s,TxByteRate/s,RxByteRate/s,MeanDelay/s,MeanJitter/s,Throughput/Kbps,MeanPacketSize,PacketDropRate,AverageHopCount,label
1,175.007,192.168.0.150,9,192.168.0.16,9,UDP,251,215,36,19076,16340,1.43423,1.22853,109.002,93.3679,0.0221516,0.0244056,0.746943,76,0.143426,0.0744186,Sybil Attack
2,175.008,192.168.0.150,9,192.168.0.19,9,UDP,251,223,28,19076,16948,1.43422,1.27423,109.001,96.8411,0.0196373,0.0186782,0.774729,76,0.111554,0.0538117,Sybil Attack
3,175.01,192.168.0.150,9,192.168.0.24,9,UDP,251,224,27,19076,17024,1.4342,1.27993,108.999,97.2744,0.0237006,0.0239165,0.778195,76,0.10757,0.0446429,Sybil Attack
4,175.014,192.168.0.150,9,192.168.0.34,9,UDP,251,212,39,19076,16112,1.43417,1.21133,108.997,92.0614,0.0340144,0.0254077,0.736491,76,0.155378,0.0330189,Sybil Attack
5,175.017,192.168.0.150,9,192.168.0.39,9,UDP,251,215,36,19076,16340,1.43415,1.22845,108.995,93.3623,0.0343963,0.0249333,0.746899,76,0.143426,0.00930233,Sybil Attack
6,175.018,192.168.0.150,9,192.168.0.43,9,UDP,251,215,36,19076,16340,1.43414,1.22845,108.995,93.3618,0.0354858,0.0264883,0.746895,76,0.143426,0.00930233,Sybil Attack
7,175.021,192.168.0.150,9,192.168.0.56,9,UDP,251,223,28,19076,16948,1.43412,1.27414,108.993,96.8343,0.0368273,0.0270428,0.774675,76,0.111554,0.058296,Sybil Attack
8,175.025,192.168.0.150,9,192.168.0.65,9,UDP,251,225,26,19076,17100,1.43408,1.28553,108.99,97.7004,0.045589,0.0282258,0.781603,76,0.103586,0.00888889,Sybil Attack
9,175.007,192.168.0.151,9,192.168.0.16,9,UDP,251,215,36,19076,16340,1.43423,1.22853,109.002,93.3679,0.0221849,0.0244056,0.746943,76,0.143426,0.0744186,Sybil Attack
10,175.008,192.168.0.151,9,192.168.0.19,9,UDP,251,223,28,19076,16948,1.43422,1.27423,109.001,96.8411,0.0196706,0.0186782,0.774729,76,0.111554,0.0538117,Sybil Attack
11,175.01,192.168.0.151,9,192.168.0.24,9,UDP,251,223,28,19076,16948,1.4342,1.27421,108.999,96.8401,0.0237511,0.0239194,0.774721,76,0.111554,0.0358744,Sybil Attack
12,175.014,192.168.0.151,9,192.168.0.34,9,UDP,251,212,39,19076,16112,1.43417,1.21133,108.997,92.0614,0.0340481,0.0254073,0.736491,76,0.155378,0.0330189,Sybil Attack
13,175.017,192.168.0.151,9,192.168.0.39,9,UDP,251,215,36,19076,16340,1.43415,1.22845,108.995,93.3623,0.0344294,0.0249336,0.746898,76,0.143426,0.00930233,Sybil Attack
14,175.018,192.168.0.151,9,192.168.0.43,9,UDP,251,215,36,19076,16340,1.43414,1.22845,108.995,93.3618,0.035519,0.0264883,0.746895,76,0.143426,0.00930233,Sybil Attack
15,175.021,192.168.0.151,9,192.168.0.56,9,UDP,251,223,28,19076,16948,1.43412,1.27414,108.993,96.8343,0.0368608,0.0270425,0.774675,76,0.111554,0.058296,Sybil Attack
16,175.025,192.168.0.151,9,192.168.0.65,9,UDP,251,225,26,19076,17100,1.43408,1.28553,108.99,97.7004,0.0456223,0.0282264,0.781603,76,0.103586,0.00888889,Sybil Attack
17,175.007,192.168.0.152,9,192.168.0.16,9,UDP,251,215,36,19076,16340,1.43423,1.22852,109.002,93.3679,0.0222181,0.0244056,0.746943,76,0.143426,0.0744186,Sybil Attack
18,175.008,192.168.0.152,9,192.168.0.19,9,UDP,251,223,28,19076,16948,1.43422,1.27423,109.001,96.8411,0.0197038,0.0186782,0.774729,76,0.111554,0.0538117,Sybil Attack
19,175.01,192.168.0.152,9,192.168.0.24,9,UDP,251,223,28,19076,16948,1.4342,1.27421,108.999,96.8401,0.0254754,0.0266723,0.774721,76,0.111554,0.0358744,Sybil Attack
20,175.014,192.168.0.152,9,192.168.0.34,9,UDP,251,212,39,19076,16112,1.43417,1.21133,108.997,92.0614,0.0340819,0.025407,0.736491,76,0.155378,0.0330189,Sybil Attack
21,175.017,192.168.0.152,9,192.168.0.39,9,UDP,251,215,36,19076,16340,1.43415,1.22845,108.995,93.3623,0.0344626,0.0249339,0.746898,76,0.143426,0.00930233,Sybil Attack
22,175.018,192.168.0.152,9,192.168.0.43,9,UDP,251,215,36,19076,16340,1.43414,1.22844,108.994,93.3618,0.0355521,0.0264883,0.746894,76,0.143426,0.00930233,Sybil Attack
23,175.021,192.168.0.152,9,192.168.0.56,9,UDP,251,223,28,19076,16948,1.43412,1.27414,108.993,96.8343,0.0368944,0.0270422,0.774674,76,0.111554,0.058296,Sybil Attack
24,175.025,192.168.0.152,9,192.168.0.65,9,UDP,251,225,26,19076,17100,1.43408,1.28553,108.99,97.7004,0.0456555,0.028227,0.781603,76,0.103586,0.00888889,Sybil Attack
25,175.007,192.168.0.153,9,192.168.0.16,9,UDP,251,212,39,19076,16112,1.43423,1.21138,109.002,92.0651,0.0224186,0.0246149,0.736521,76,0.155378,0.0660377,Sybil Attack
26,175.008,192.168.0.153,9,192.168.0.19,9,UDP,251,222,29,19076,16872,1.43422,1.26851,109.001,96.4068,0.019773,0.018714,0.771255,76,0.115538,0.0540541,Sybil Attack
27,175.01,192.168.0.153,9,192.168.0.24,9,UDP,251,222,29,19076,16872,1.4342,1.2685,108.999,96.4058,0.0255997,0.0267775,0.771247,76,0.115538,0.036036,Sybil Attack
28,175.014,192.168.0.153,9,192.168.0.34,9,UDP,251,211,40,19076,16036,1.43417,1.20562,108.997,91.6271,0.0360118,0.0251618,0.733017,76,0.159363,0.0331754,Sybil Attack
29,175.017,192.168.0.153,9,192.168.0.39,9,UDP,251,214,37,19076,16264,1.43415,1.22274,108.995,92.928,0.0346501,0.0250399,0.743424,76,0.14741,0.00934579,Sybil Attack
30,175.018,192.168.0.153,9,192.168.0.43,9,UDP,251,214,37,19076,16264,1.43414,1.22273,108.994,92.9275,0.0357372,0.0266045,0.74342,76,0.14741,0.00934579,Sybil Attack
